post_id,timestamp,county_id,user_id,prob_suicide,vader_compound,entities
Post_4787,2026-05-01 00:04:00,Urban_County_B,User_796,0.6897,-0.8127,
Post_1436,2026-05-01 00:05:00,Urban_County_B,User_517,0.4113,-0.4692,
Post_3982,2026-05-01 00:05:00,Urban_County_A,User_142,0.017,-0.4388,
Post_2147,2026-05-01 00:10:00,Urban_County_B,User_806,0.7472,0.9072,
Post_3726,2026-05-01 00:11:00,Urban_County_B,User_223,0.2434,0.2013,
Post_1085,2026-05-01 00:12:00,Urban_County_B,User_83,0.5356,-0.4596,
Post_3946,2026-05-01 00:17:00,Urban_County_B,User_738,0.8354,-0.2804,
Post_4817,2026-05-01 00:17:00,Urban_County_A,User_783,0.5932,-0.9603,
Post_817,2026-05-01 00:19:00,Urban_County_B,User_223,0.8568,0.8634,
Post_4543,2026-05-01 00:19:00,Urban_County_B,User_982,0.6529,-0.2914,
Post_3072,2026-05-01 00:23:00,Rural_County_Y,User_842,0.5614,-0.1065,
Post_3291,2026-05-01 00:26:00,Urban_County_A,User_174,0.3755,-0.0007,
Post_5855,2026-05-01 00:27:00,Urban_County_A,User_563,0.5816,-0.0673,
Post_3927,2026-05-01 00:35:00,Urban_County_B,User_216,0.3301,0.3519,
Post_3,2026-05-01 00:36:00,Rural_County_Y,User_221,0.5638,0.0435,
Post_3160,2026-05-01 00:40:00,Rural_County_Y,User_403,0.9683,0.9734,
Post_3174,2026-05-01 00:41:00,Rural_County_X,User_576,0.8624,-0.2127,
Post_3348,2026-05-01 00:41:00,Urban_County_B,User_678,0.3749,0.1197,
Post_758,2026-05-01 00:42:00,Urban_County_A,User_294,0.5049,-0.4207,
Post_77,2026-05-01 00:43:00,Urban_County_A,User_202,0.2037,0.9766,
Post_1394,2026-05-01 00:43:00,Rural_County_Y,User_379,0.8545,-0.3031,
Post_5106,2026-05-01 00:48:00,Urban_County_B,User_549,0.1451,-0.7546,
Post_3466,2026-05-01 00:52:00,Urban_County_B,User_677,0.6706,0.3744,
Post_5717,2026-05-01 00:55:00,Urban_County_A,User_477,0.3146,0.69,
